TIME,GEO,VALUE
2024-06,Denmark,118.8
2024-07,Denmark,120.3
2015-01,Germany,98.1
2015-02,Germany,99
2015-03,Germany,99.7
2015-04,Germany,100.2
2015-05,Germany,100.6
2015-06,Germany,100.5
2015-07,Germany,100.9
2015-08,Germany,100.8
2015-09,Germany,100.5
2015-10,Germany,100.5
2015-11,Germany,99.5
2015-12,Germany,99.6
2016-01,Germany,98.5
2016-02,Germany,98.9
2016-03,Germany,99.8
2016-04,Germany,99.9
2016-05,Germany,100.5
2016-06,Germany,100.6
2016-07,Germany,101.2
2016-08,Germany,101.1
2016-09,Germany,101.1
2016-10,Germany,101.2
2016-11,Germany,100.3
2016-12,Germany,101.2
2017-01,Germany,100.2
2017-02,Germany,101
2017-03,Germany,101.3
2017-04,Germany,101.9
2017-05,Germany,101.8
2017-06,Germany,102.3
2017-07,Germany,102.9
2017-08,Germany,103
2017-09,Germany,103
2017-10,Germany,102.7
2017-11,Germany,102
2017-12,Germany,102.7
2018-01,Germany,101.7
2018-02,Germany,102.2
2018-03,Germany,103
2018-04,Germany,103.2
2018-05,Germany,104.3
2018-06,Germany,104.4
2018-07,Germany,105.2
2018-08,Germany,105.2
2018-09,Germany,105.3
2018-10,Germany,105.4
2018-11,Germany,104.2
2018-12,Germany,104.4
2019-01,Germany,103.4
2019-02,Germany,103.9
2019-03,Germany,104.4
2019-04,Germany,105.4
2019-05,Germany,105.7
2019-06,Germany,106
2019-07,Germany,106.4
2019-08,Germany,106.3
2019-09,Germany,106.2
2019-10,Germany,106.3
2019-11,Germany,105.4
2019-12,Germany,106
2020-01,Germany,105.1
2020-02,Germany,105.7
2020-03,Germany,105.8
2020-04,Germany,106.2
2020-05,Germany,106.2
2020-06,Germany,106.9
2020-07,Germany,106.4
2020-08,Germany,106.2
2020-09,Germany,105.8
2020-10,Germany,105.8
2020-11,Germany,104.7
2020-12,Germany,105.3
2021-01,Germany,106.8
2021-02,Germany,107.4
2021-03,Germany,107.9
2021-04,Germany,108.4
2021-05,Germany,108.7
2021-06,Germany,109.1
2021-07,Germany,109.7
2021-08,Germany,109.8
2021-09,Germany,110.1
2021-10,Germany,110.7
2021-11,Germany,111
2021-12,Germany,111.3
2022-01,Germany,112.3
2022-02,Germany,113.3
2022-03,Germany,116.1
2022-04,Germany,116.9
2022-05,Germany,118.2
2022-06,Germany,118.1
2022-07,Germany,119
2022-08,Germany,119.5
2022-09,Germany,122.1
2022-10,Germany,123.5
2022-11,Germany,123.5
2022-12,Germany,122
2023-01,Germany,122.6
2023-02,Germany,123.8
2023-03,Germany,125.1
2023-04,Germany,125.8
2023-05,Germany,125.6
2023-06,Germany,126.1
2023-07,Germany,126.7
2023-08,Germany,127.2
2023-09,Germany,127.4
2023-10,Germany,127.2
2023-11,Germany,126.3
2023-12,Germany,126.6
2024-01,Germany,126.4
2024-02,Germany,127.2
2024-03,Germany,128
2024-04,Germany,128.8
2024-05,Germany,129.1
2024-06,Germany,129.3
2024-07,Germany,130
2015-01,Estonia,98.78
2015-02,Estonia,99.3
2015-03,Estonia,99.95
2015-04,Estonia,100.53
2015-05,Estonia,100.89
2015-06,Estonia,100.94
2015-07,Estonia,100.61
2015-08,Estonia,100.41
2015-09,Estonia,99.82
2015-10,Estonia,100.05
2015-11,Estonia,99.71
2015-12,Estonia,99.01
2016-01,Estonia,98.85
2016-02,Estonia,99.65
2016-03,Estonia,100.41
2016-04,Estonia,100.49
2016-05,Estonia,100.88
2016-06,Estonia,101.37
2016-07,Estonia,101.38
2016-08,Estonia,101.52
2016-09,Estonia,101.56
2016-10,Estonia,101.09
2016-11,Estonia,101.06
2016-12,Estonia,101.34
2017-01,Estonia,101.61
2017-02,Estonia,103.08
2017-03,Estonia,103.46
2017-04,Estonia,104.06
2017-05,Estonia,104.41
2017-06,Estonia,104.55
2017-07,Estonia,105.36
2017-08,Estonia,105.8
2017-09,Estonia,105.56
2017-10,Estonia,105.16
2017-11,Estonia,105.56
2017-12,Estonia,105.15
2018-01,Estonia,105.28
2018-02,Estonia,106.37
2018-03,Estonia,106.44
2018-04,Estonia,107.04
2018-05,Estonia,107.61
2018-06,Estonia,108.65
2018-07,Estonia,108.87
2018-08,Estonia,109.55
2018-09,Estonia,109.26
2018-10,Estonia,109.86
2018-11,Estonia,108.97
2018-12,Estonia,108.64
2019-01,Estonia,108.18
2019-02,Estonia,108.38
2019-03,Estonia,108.83
2019-04,Estonia,110.5
2019-05,Estonia,110.93
2019-06,Estonia,111.47
2019-07,Estonia,111.1
2019-08,Estonia,111.87
2019-09,Estonia,111.7
2019-10,Estonia,111.45
2019-11,Estonia,110.95
2019-12,Estonia,110.59
2020-01,Estonia,109.94
2020-02,Estonia,110.56
2020-03,Estonia,109.89
2020-04,Estonia,109.52
2020-05,Estonia,108.91
2020-06,Estonia,109.67
2020-07,Estonia,109.69
2020-08,Estonia,110.38
2020-09,Estonia,110.22
2020-10,Estonia,109.51
2020-11,Estonia,109.63
2020-12,Estonia,109.62
2021-01,Estonia,110.22
2021-02,Estonia,111.16
2021-03,Estonia,110.87
2021-04,Estonia,111.3
2021-05,Estonia,112.38
2021-06,Estonia,113.76
2021-07,Estonia,115.07
2021-08,Estonia,115.86
2021-09,Estonia,117.25
