TIME,GEO,SEX,AGE,VALUE
2016,Kosovo*,Total,Less than 15 years,483027
2017,Kosovo*,Total,Less than 15 years,446632
2018,Kosovo*,Total,Less than 15 years,450344
2019,Kosovo*,Total,Less than 15 years,438179
2020,Kosovo*,Total,Less than 15 years,428565
2008,Andorra,Total,Less than 15 years,12155
2009,Andorra,Total,Less than 15 years,12211
2010,Andorra,Total,Less than 15 years,12150
2011,Andorra,Total,Less than 15 years,12095
2012,Andorra,Total,Less than 15 years,12095
2013,Andorra,Total,Less than 15 years,11841
2019,Andorra,Total,Less than 15 years,10569
2008,Belarus,Total,Less than 15 years,1421557
2009,Belarus,Total,Less than 15 years,1415055
2011,Belarus,Total,Less than 15 years,1413169
2012,Belarus,Total,Less than 15 years,1429631
2013,Belarus,Total,Less than 15 years,1460265
2014,Belarus,Total,Less than 15 years,1488782
2015,Belarus,Total,Less than 15 years,1518669
2016,Belarus,Total,Less than 15 years,1549332
2017,Belarus,Total,Less than 15 years,1579277
2018,Belarus,Total,Less than 15 years,1594936
2019,Belarus,Total,Less than 15 years,1603484
2008,Russia,Total,Less than 15 years,20824221
2009,Russia,Total,Less than 15 years,21092427
2010,Russia,Total,Less than 15 years,21400612
2011,Russia,Total,Less than 15 years,21668300
2014,Russia,Total,Less than 15 years,23383808
2012,San Marino,Total,Less than 15 years,5071
2013,San Marino,Total,Less than 15 years,5066
2018,San Marino,Total,Less than 15 years,4883
2020,San Marino,Total,Less than 15 years,4687
2008,Armenia,Total,Less than 15 years,614018
2009,Armenia,Total,Less than 15 years,601183
2010,Armenia,Total,Less than 15 years,595717
2014,Armenia,Total,Less than 15 years,575638
2015,Armenia,Total,Less than 15 years,582592
2016,Armenia,Total,Less than 15 years,588848
2017,Armenia,Total,Less than 15 years,595812
2018,Armenia,Total,Less than 15 years,599657
2019,Armenia,Total,Less than 15 years,600095
2020,Armenia,Total,Less than 15 years,599582
2008,Azerbaijan,Total,Less than 15 years,1999900
2009,Azerbaijan,Total,Less than 15 years,2014100
2010,Azerbaijan,Total,Less than 15 years,2030930
2011,Azerbaijan,Total,Less than 15 years,2032456
2012,Azerbaijan,Total,Less than 15 years,2052456
2013,Azerbaijan,Total,Less than 15 years,2086987
2014,Azerbaijan,Total,Less than 15 years,2118641
2015,Azerbaijan,Total,Less than 15 years,2152698
2016,Azerbaijan,Total,Less than 15 years,2186840
2017,Azerbaijan,Total,Less than 15 years,2219669
2018,Azerbaijan,Total,Less than 15 years,2234309
2019,Azerbaijan,Total,Less than 15 years,2238902
2020,Azerbaijan,Total,Less than 15 years,2256731
2008,Belgium,Males,Less than 15 years,920086
2009,Belgium,Males,Less than 15 years,927758
2010,Belgium,Males,Less than 15 years,936451
2011,Belgium,Males,Less than 15 years,954482
2012,Belgium,Males,Less than 15 years,961668
2013,Belgium,Males,Less than 15 years,967009
2014,Belgium,Males,Less than 15 years,971591
2015,Belgium,Males,Less than 15 years,977286
2016,Belgium,Males,Less than 15 years,982958
2017,Belgium,Males,Less than 15 years,986518
2018,Belgium,Males,Less than 15 years,989595
2019,Belgium,Males,Less than 15 years,992384
2020,Belgium,Males,Less than 15 years,993137
2021,Belgium,Males,Less than 15 years,989490
2022,Belgium,Males,Less than 15 years,987784
2023,Belgium,Males,Less than 15 years,991490
2008,Bulgaria,Males,Less than 15 years,507320
2009,Bulgaria,Males,Less than 15 years,502906
2010,Bulgaria,Males,Less than 15 years,501980
2011,Bulgaria,Males,Less than 15 years,501567
2012,Bulgaria,Males,Less than 15 years,504014
2013,Bulgaria,Males,Less than 15 years,512305
2014,Bulgaria,Males,Less than 15 years,508143
2015,Bulgaria,Males,Less than 15 years,502482
2016,Bulgaria,Males,Less than 15 years,495641
2017,Bulgaria,Males,Less than 15 years,490976
2018,Bulgaria,Males,Less than 15 years,487244
2019,Bulgaria,Males,Less than 15 years,481319
2020,Bulgaria,Males,Less than 15 years,473690
2021,Bulgaria,Males,Less than 15 years,473358
2022,Bulgaria,Males,Less than 15 years,470892
2023,Bulgaria,Males,Less than 15 years,468920
2008,Czechia,Males,Less than 15 years,756176
2009,Czechia,Males,Less than 15 years,758474
2010,Czechia,Males,Less than 15 years,766784
2011,Czechia,Males,Less than 15 years,780975
2012,Czechia,Males,Less than 15 years,790934
2013,Czechia,Males,Less than 15 years,800529
2014,Czechia,Males,Less than 15 years,809217
2015,Czechia,Males,Less than 15 years,821465
2016,Czechia,Males,Less than 15 years,832609
2017,Czechia,Males,Less than 15 years,844648
2018,Czechia,Males,Less than 15 years,856544
2019,Czechia,Males,Less than 15 years,867710
2020,Czechia,Males,Less than 15 years,876302
2021,Czechia,Males,Less than 15 years,862739
2022,Czechia,Males,Less than 15 years,866862
2023,Czechia,Males,Less than 15 years,895898
2008,Denmark,Males,Less than 15 years,517273
2009,Denmark,Males,Less than 15 years,516414
2010,Denmark,Males,Less than 15 years,513043
2011,Denmark,Males,Less than 15 years,509707
2012,Denmark,Males,Less than 15 years,505137
2013,Denmark,Males,Less than 15 years,500720
2014,Denmark,Males,Less than 15 years,496155
2015,Denmark,Males,Less than 15 years,493302
2016,Denmark,Males,Less than 15 years,492349
2017,Denmark,Males,Less than 15 years,493317
2018,Denmark,Males,Less than 15 years,492621
2019,Denmark,Males,Less than 15 years,491110
2020,Denmark,Males,Less than 15 years,489157
2021,Denmark,Males,Less than 15 years,487049
2022,Denmark,Males,Less than 15 years,485512
2023,Denmark,Males,Less than 15 years,486438
2008,Germany,Males,Less than 15 years,5788507
2009,Germany,Males,Less than 15 years,5714519
2010,Germany,Males,Less than 15 years,5654417
2011,Germany,Males,Less than 15 years,5582915
2012,Germany,Males,Less than 15 years,5526053
2013,Germany,Males,Less than 15 years,5480941
2014,Germany,Males,Less than 15 years,5460338
2015,Germany,Males,Less than 15 years,5483648
2016,Germany,Males,Less than 15 years,5594051
2017,Germany,Males,Less than 15 years,5679300
2018,Germany,Males,Less than 15 years,5740895
2019,Germany,Males,Less than 15 years,5800702
2020,Germany,Males,Less than 15 years,5851703
2021,Germany,Males,Less than 15 years,5896365
2022,Germany,Males,Less than 15 years,5962176
2023,Germany,Males,Less than 15 years,6126654
2008,Estonia,Males,Less than 15 years,102040
2009,Estonia,Males,Less than 15 years,102650
2010,Estonia,Males,Less than 15 years,103680
2011,Estonia,Males,Less than 15 years,105000
2012,Estonia,Males,Less than 15 years,105823
2013,Estonia,Males,Less than 15 years,106363
2014,Estonia,Males,Less than 15 years,106916
2015,Estonia,Males,Less than 15 years,107670
2016,Estonia,Males,Less than 15 years,108461
2017,Estonia,Males,Less than 15 years,109660
2018,Estonia,Males,Less than 15 years,110684
2019,Estonia,Males,Less than 15 years,111819
2020,Estonia,Males,Less than 15 years,112449
2021,Estonia,Males,Less than 15 years,112151
2022,Estonia,Males,Less than 15 years,111705
2023,Estonia,Males,Less than 15 years,114726
2008,Ireland,Males,Less than 15 years,464558
2009,Ireland,Males,Less than 15 years,477001
2010,Ireland,Males,Less than 15 years,488164
2011,Ireland,Males,Less than 15 years,497851
2012,Ireland,Males,Less than 15 years,504168
2013,Ireland,Males,Less than 15 years,507409
2014,Ireland,Males,Less than 15 years,509217
2015,Ireland,Males,Less than 15 years,511695
2016,Ireland,Males,Less than 15 years,513557
2017,Ireland,Males,Less than 15 years,515666
2018,Ireland,Males,Less than 15 years,514790
2019,Ireland,Males,Less than 15 years,515378
2020,Ireland,Males,Less than 15 years,514811
2021,Ireland,Males,Less than 15 years,511803
2022,Ireland,Males,Less than 15 years,509769
2023,Ireland,Males,Less than 15 years,520803
2008,Greece,Males,Less than 15 years,827280
2009,Greece,Males,Less than 15 years,829513
2010,Greece,Males,Less than 15 years,831317
2011,Greece,Males,Less than 15 years,831672
2012,Greece,Males,Less than 15 years,831379
2013,Greece,Males,Less than 15 years,826651
2014,Greece,Males,Less than 15 years,819269
2015,Greece,Males,Less than 15 years,808526
2016,Greece,Males,Less than 15 years,798355
2017,Greece,Males,Less than 15 years,797931
2018,Greece,Males,Less than 15 years,794203
2019,Greece,Males,Less than 15 years,789722
2020,Greece,Males,Less than 15 years,784997
2021,Greece,Males,Less than 15 years,775897
2022,Greece,Males,Less than 15 years,735474
2023,Greece,Males,Less than 15 years,715406
2008,Spain,Males,Less than 15 years,3435077
2009,Spain,Males,Less than 15 years,3515605
2010,Spain,Males,Less than 15 years,3567852
2011,Spain,Males,Less than 15 years,3610314
2012,Spain,Males,Less than 15 years,3644767
2013,Spain,Males,Less than 15 years,3652840
2014,Spain,Males,Less than 15 years,3640264
2015,Spain,Males,Less than 15 years,3632391
2016,Spain,Males,Less than 15 years,3619502
2017,Spain,Males,Less than 15 years,3609997
2018,Spain,Males,Less than 15 years,3596419
2019,Spain,Males,Less than 15 years,3572120
2020,Spain,Males,Less than 15 years,3544703
2021,Spain,Males,Less than 15 years,3483339
2022,Spain,Males,Less than 15 years,3415839
2023,Spain,Males,Less than 15 years,3364448
2008,France,Males,Less than 15 years,6059485
2009,France,Males,Less than 15 years,6104832
2010,France,Males,Less than 15 years,6144159
2011,France,Males,Less than 15 years,6176308
2012,France,Males,Less than 15 years,6204798
2013,France,Males,Less than 15 years,6240029
2014,France,Males,Less than 15 years,6305804
2015,France,Males,Less than 15 years,6310677
2016,France,Males,Less than 15 years,6277998
2017,France,Males,Less than 15 years,6244314
2018,France,Males,Less than 15 years,6220530
2019,France,Males,Less than 15 years,6192040
2020,France,Males,Less than 15 years,6156906
2021,France,Males,Less than 15 years,6121201
2022,France,Males,Less than 15 years,6073458
2023,France,Males,Less than 15 years,6027123
2008,Croatia,Males,Less than 15 years,342517
2009,Croatia,Males,Less than 15 years,340348
2010,Croatia,Males,Less than 15 years,338873
2011,Croatia,Males,Less than 15 years,335992
2012,Croatia,Males,Less than 15 years,330879
2013,Croatia,Males,Less than 15 years,325345
2014,Croatia,Males,Less than 15 years,320031
2015,Croatia,Males,Less than 15 years,315853
2016,Croatia,Males,Less than 15 years,310353
2017,Croatia,Males,Less than 15 years,305340
2018,Croatia,Males,Less than 15 years,300115
2019,Croatia,Males,Less than 15 years,295764
2020,Croatia,Males,Less than 15 years,290882
2021,Croatia,Males,Less than 15 years,285740
2022,Croatia,Males,Less than 15 years,283606
2023,Croatia,Males,Less than 15 years,281642
2008,Italy,Males,Less than 15 years,4275987
2009,Italy,Males,Less than 15 years,4310344
2010,Italy,Males,Less than 15 years,4334103
2011,Italy,Males,Less than 15 years,4347748
2012,Italy,Males,Less than 15 years,4344903
2013,Italy,Males,Less than 15 years,4344178
2014,Italy,Males,Less than 15 years,4322360
2015,Italy,Males,Less than 15 years,4285752
2016,Italy,Males,Less than 15 years,4232685
2017,Italy,Males,Less than 15 years,4175659
2018,Italy,Males,Less than 15 years,4117222
2019,Italy,Males,Less than 15 years,4050319
2020,Italy,Males,Less than 15 years,3975887
2021,Italy,Males,Less than 15 years,3928779
2022,Italy,Males,Less than 15 years,3851986
2023,Italy,Males,Less than 15 years,3777288
2008,Cyprus,Males,Less than 15 years,72644
2009,Cyprus,Males,Less than 15 years,72386
2010,Cyprus,Males,Less than 15 years,72396
2011,Cyprus,Males,Less than 15 years,72517
2012,Cyprus,Males,Less than 15 years,72891
2013,Cyprus,Males,Less than 15 years,72840
2014,Cyprus,Males,Less than 15 years,71639
2015,Cyprus,Males,Less than 15 years,71433
2016,Cyprus,Males,Less than 15 years,71678
2017,Cyprus,Males,Less than 15 years,71517
2018,Cyprus,Males,Less than 15 years,71691
2019,Cyprus,Males,Less than 15 years,72182
2020,Cyprus,Males,Less than 15 years,72728
2021,Cyprus,Males,Less than 15 years,73901
2022,Cyprus,Males,Less than 15 years,74907
2023,Cyprus,Males,Less than 15 years,76261
2008,Latvia,Males,Less than 15 years,157107
2009,Latvia,Males,Less than 15 years,155936
2010,Latvia,Males,Less than 15 years,153691
2011,Latvia,Males,Less than 15 years,150709
2012,Latvia,Males,Less than 15 years,149643
2013,Latvia,Males,Less than 15 years,149858
2014,Latvia,Males,Less than 15 years,150881
2015,Latvia,Males,Less than 15 years,152769
2016,Latvia,Males,Less than 15 years,154373
2017,Latvia,Males,Less than 15 years,156350
2018,Latvia,Males,Less than 15 years,157366
2019,Latvia,Males,Less than 15 years,157277
2020,Latvia,Males,Less than 15 years,157283
2021,Latvia,Males,Less than 15 years,156188
2022,Latvia,Males,Less than 15 years,154729
2023,Latvia,Males,Less than 15 years,154970
2008,Lithuania,Males,Less than 15 years,255224
2009,Lithuania,Males,Less than 15 years,247143
2010,Lithuania,Males,Less than 15 years,241090
2011,Lithuania,Males,Less than 15 years,233090
2012,Lithuania,Males,Less than 15 years,228013
2013,Lithuania,Males,Less than 15 years,224076
2014,Lithuania,Males,Less than 15 years,224102
2015,Lithuania,Males,Less than 15 years,220032
2016,Lithuania,Males,Less than 15 years,216986
2017,Lithuania,Males,Less than 15 years,215240
2018,Lithuania,Males,Less than 15 years,214354
2019,Lithuania,Males,Less than 15 years,213837
2020,Lithuania,Males,Less than 15 years,213361
2021,Lithuania,Males,Less than 15 years,213138
2022,Lithuania,Males,Less than 15 years,214213
2023,Lithuania,Males,Less than 15 years,218981
2008,Luxembourg,Males,Less than 15 years,45074
2009,Luxembourg,Males,Less than 15 years,45467
2010,Luxembourg,Males,Less than 15 years,45841
2011,Luxembourg,Males,Less than 15 years,46274
2012,Luxembourg,Males,Less than 15 years,46210
2013,Luxembourg,Males,Less than 15 years,46863
2014,Luxembourg,Males,Less than 15 years,47497
2015,Luxembourg,Males,Less than 15 years,48153
2016,Luxembourg,Males,Less than 15 years,48773
2017,Luxembourg,Males,Less than 15 years,49412
2018,Luxembourg,Males,Less than 15 years,49925
2019,Luxembourg,Males,Less than 15 years,50537
2020,Luxembourg,Males,Less than 15 years,51261
2021,Luxembourg,Males,Less than 15 years,51832
2022,Luxembourg,Males,Less than 15 years,52461
2023,Luxembourg,Males,Less than 15 years,53548
2008,Hungary,Males,Less than 15 years,773868
2009,Hungary,Males,Less than 15 years,765768
2010,Hungary,Males,Less than 15 years,757690
2011,Hungary,Males,Less than 15 years,747586
2012,Hungary,Males,Less than 15 years,739538
2013,Hungary,Males,Less than 15 years,734685
2014,Hungary,Males,Less than 15 years,732203
2015,Hungary,Males,Less than 15 years,732757
2016,Hungary,Males,Less than 15 years,731304
2017,Hungary,Males,Less than 15 years,730357
2018,Hungary,Males,Less than 15 years,729991
2019,Hungary,Males,Less than 15 years,729954
2020,Hungary,Males,Less than 15 years,729850
2021,Hungary,Males,Less than 15 years,727556
2022,Hungary,Males,Less than 15 years,724202
2023,Hungary,Males,Less than 15 years,715965
2008,Malta,Males,Less than 15 years,33755
2009,Malta,Males,Less than 15 years,33102
2010,Malta,Males,Less than 15 years,32592
2011,Malta,Males,Less than 15 years,32015
2012,Malta,Males,Less than 15 years,31657
2013,Malta,Males,Less than 15 years,31523
2014,Malta,Males,Less than 15 years,31731
2015,Malta,Males,Less than 15 years,32367
2016,Malta,Males,Less than 15 years,32958
2017,Malta,Males,Less than 15 years,33669
2018,Malta,Males,Less than 15 years,34160
2019,Malta,Males,Less than 15 years,34884
2020,Malta,Males,Less than 15 years,35840
2021,Malta,Males,Less than 15 years,35935
2022,Malta,Males,Less than 15 years,36228
2023,Malta,Males,Less than 15 years,35684
2008,Netherlands,Males,Less than 15 years,1501602
2009,Netherlands,Males,Less than 15 years,1495641
2010,Netherlands,Males,Less than 15 years,1490308
2011,Netherlands,Males,Less than 15 years,1487164
2012,Netherlands,Males,Less than 15 years,1481564
2013,Netherlands,Males,Less than 15 years,1472519
2014,Netherlands,Males,Less than 15 years,1458655
2015,Netherlands,Males,Less than 15 years,1446451
2016,Netherlands,Males,Less than 15 years,1433087
2017,Netherlands,Males,Less than 15 years,1424590
2018,Netherlands,Males,Less than 15 years,1415034
2019,Netherlands,Males,Less than 15 years,1403422
2020,Netherlands,Males,Less than 15 years,1396714
2021,Netherlands,Males,Less than 15 years,1389619
2022,Netherlands,Males,Less than 15 years,1389688
2023,Netherlands,Males,Less than 15 years,1397561
2008,Austria,Males,Less than 15 years,653978
2009,Austria,Males,Less than 15 years,646022
2010,Austria,Males,Less than 15 years,637802
2011,Austria,Males,Less than 15 years,632382
2012,Austria,Males,Less than 15 years,627506
2013,Austria,Males,Less than 15 years,625531
2014,Austria,Males,Less than 15 years,625536
2015,Austria,Males,Less than 15 years,629422
2016,Austria,Males,Less than 15 years,641195
2017,Austria,Males,Less than 15 years,649872
2018,Austria,Males,Less than 15 years,654832
2019,Austria,Males,Less than 15 years,657572
2020,Austria,Males,Less than 15 years,659686
2021,Austria,Males,Less than 15 years,661035
2022,Austria,Males,Less than 15 years,664378
2023,Austria,Males,Less than 15 years,676520
2008,Poland,Males,Less than 15 years,3025708
2009,Poland,Males,Less than 15 years,2989995
2010,Poland,Males,Less than 15 years,2983455
2011,Poland,Males,Less than 15 years,2977291
2012,Poland,Males,Less than 15 years,2956453
2013,Poland,Males,Less than 15 years,2946741
2014,Poland,Males,Less than 15 years,2934309
2015,Poland,Males,Less than 15 years,2933093
2016,Poland,Males,Less than 15 years,2930232
2017,Poland,Males,Less than 15 years,2942134
2018,Poland,Males,Less than 15 years,2970053
2019,Poland,Males,Less than 15 years,2994942
2020,Poland,Males,Less than 15 years,3009401
2021,Poland,Males,Less than 15 years,2956417
2022,Poland,Males,Less than 15 years,2944868
2023,Poland,Males,Less than 15 years,2909836
2008,Portugal,Males,Less than 15 years,844026
2009,Portugal,Males,Less than 15 years,836586
2010,Portugal,Males,Less than 15 years,828310
2011,Portugal,Males,Less than 15 years,816684
2012,Portugal,Males,Less than 15 years,804664
2013,Portugal,Males,Less than 15 years,793573
2014,Portugal,Males,Less than 15 years,779303
2015,Portugal,Males,Less than 15 years,763486
2016,Portugal,Males,Less than 15 years,748017
2017,Portugal,Males,Less than 15 years,738392
2018,Portugal,Males,Less than 15 years,728150
2019,Portugal,Males,Less than 15 years,718939
2020,Portugal,Males,Less than 15 years,713477
2021,Portugal,Males,Less than 15 years,705913
2022,Portugal,Males,Less than 15 years,679492
2023,Portugal,Males,Less than 15 years,697236
2008,Romania,Males,Less than 15 years,1729826
2009,Romania,Males,Less than 15 years,1655043
2010,Romania,Males,Less than 15 years,1646788
2011,Romania,Males,Less than 15 years,1642549
2012,Romania,Males,Less than 15 years,1635505
2013,Romania,Males,Less than 15 years,1612273
2014,Romania,Males,Less than 15 years,1590242
2015,Romania,Males,Less than 15 years,1583062
2016,Romania,Males,Less than 15 years,1576298
2017,Romania,Males,Less than 15 years,1571867
2018,Romania,Males,Less than 15 years,1571990
2019,Romania,Males,Less than 15 years,1561868
2020,Romania,Males,Less than 15 years,1557123
2021,Romania,Males,Less than 15 years,1555169
2022,Romania,Males,Less than 15 years,1587605
2023,Romania,Males,Less than 15 years,1578357
2008,Slovenia,Males,Less than 15 years,144136
2009,Slovenia,Males,Less than 15 years,145974
2010,Slovenia,Males,Less than 15 years,147808
2011,Slovenia,Males,Less than 15 years,149702
2012,Slovenia,Males,Less than 15 years,151314
2013,Slovenia,Males,Less than 15 years,153462
2014,Slovenia,Males,Less than 15 years,154881
2015,Slovenia,Males,Less than 15 years,156607
2016,Slovenia,Males,Less than 15 years,157674
2017,Slovenia,Males,Less than 15 years,158666
2018,Slovenia,Males,Less than 15 years,159783
2019,Slovenia,Males,Less than 15 years,161389
2020,Slovenia,Males,Less than 15 years,162640
2021,Slovenia,Males,Less than 15 years,163670
2022,Slovenia,Males,Less than 15 years,163821
2023,Slovenia,Males,Less than 15 years,163522
2008,Slovakia,Males,Less than 15 years,438242
2009,Slovakia,Males,Less than 15 years,430798
2010,Slovakia,Males,Less than 15 years,428962
2011,Slovakia,Males,Less than 15 years,426942
2012,Slovakia,Males,Less than 15 years,427142
2013,Slovakia,Males,Less than 15 years,426209
2014,Slovakia,Males,Less than 15 years,425760
2015,Slovakia,Males,Less than 15 years,425917
2016,Slovakia,Males,Less than 15 years,426954
2017,Slovakia,Males,Less than 15 years,430866
2018,Slovakia,Males,Less than 15 years,435807
2019,Slovakia,Males,Less than 15 years,440133
2020,Slovakia,Males,Less than 15 years,442877
2021,Slovakia,Males,Less than 15 years,444928
2022,Slovakia,Males,Less than 15 years,446781
2023,Slovakia,Males,Less than 15 years,447155
2008,Finland,Males,Less than 15 years,456679
2009,Finland,Males,Less than 15 years,455175
2010,Finland,Males,Less than 15 years,453820
2011,Finland,Males,Less than 15 years,453645
2012,Finland,Males,Less than 15 years,454172
2013,Finland,Males,Less than 15 years,455556
2014,Finland,Males,Less than 15 years,457579
2015,Finland,Males,Less than 15 years,458400
2016,Finland,Males,Less than 15 years,458048
2017,Finland,Males,Less than 15 years,457070
2018,Finland,Males,Less than 15 years,455032
2019,Finland,Males,Less than 15 years,451244
2020,Finland,Males,Less than 15 years,445250
2021,Finland,Males,Less than 15 years,440174
2022,Finland,Males,Less than 15 years,435445
2023,Finland,Males,Less than 15 years,429539
2008,Sweden,Males,Less than 15 years,790575
2009,Sweden,Males,Less than 15 years,791668
2010,Sweden,Males,Less than 15 years,795638
2011,Sweden,Males,Less than 15 years,803712
2012,Sweden,Males,Less than 15 years,813778
2013,Sweden,Males,Less than 15 years,827996
2014,Sweden,Males,Less than 15 years,845557
2015,Sweden,Males,Less than 15 years,864357
2016,Sweden,Males,Less than 15 years,882875
2017,Sweden,Males,Less than 15 years,905662
2018,Sweden,Males,Less than 15 years,923288
2019,Sweden,Males,Less than 15 years,936215
2020,Sweden,Males,Less than 15 years,943904
2021,Sweden,Males,Less than 15 years,945681
2022,Sweden,Males,Less than 15 years,946130
2023,Sweden,Males,Less than 15 years,941006
2008,Iceland,Males,Less than 15 years,33605
2009,Iceland,Males,Less than 15 years,33981
2010,Iceland,Males,Less than 15 years,33939
2011,Iceland,Males,Less than 15 years,33994
2012,Iceland,Males,Less than 15 years,33864
2013,Iceland,Males,Less than 15 years,33920
2014,Iceland,Males,Less than 15 years,34020
2015,Iceland,Males,Less than 15 years,34196
2016,Iceland,Males,Less than 15 years,33980
2017,Iceland,Males,Less than 15 years,34092
2018,Iceland,Males,Less than 15 years,34473
2019,Iceland,Males,Less than 15 years,34807
2020,Iceland,Males,Less than 15 years,35046
2021,Iceland,Males,Less than 15 years,35482
2022,Iceland,Males,Less than 15 years,35967
2023,Iceland,Males,Less than 15 years,36372
2008,Liechtenstein,Males,Less than 15 years,2991
2009,Liechtenstein,Males,Less than 15 years,2978
2010,Liechtenstein,Males,Less than 15 years,3002
2011,Liechtenstein,Males,Less than 15 years,2946
2012,Liechtenstein,Males,Less than 15 years,2950
2013,Liechtenstein,Males,Less than 15 years,2931
2014,Liechtenstein,Males,Less than 15 years,2930
2015,Liechtenstein,Males,Less than 15 years,2963
2016,Liechtenstein,Males,Less than 15 years,2939
2017,Liechtenstein,Males,Less than 15 years,2943
2018,Liechtenstein,Males,Less than 15 years,2943
2019,Liechtenstein,Males,Less than 15 years,2978
2020,Liechtenstein,Males,Less than 15 years,2987
2021,Liechtenstein,Males,Less than 15 years,2999
2022,Liechtenstein,Males,Less than 15 years,3023
2023,Liechtenstein,Males,Less than 15 years,3010
2008,Norway,Males,Less than 15 years,464627
2009,Norway,Males,Less than 15 years,467214
2010,Norway,Males,Less than 15 years,470253
2011,Norway,Males,Less than 15 years,472060
2012,Norway,Males,Less than 15 years,473094
2013,Norway,Males,Less than 15 years,474904
2014,Norway,Males,Less than 15 years,476639
2015,Norway,Males,Less than 15 years,477409
2016,Norway,Males,Less than 15 years,478180
2017,Norway,Males,Less than 15 years,480763
2018,Norway,Males,Less than 15 years,481709
2019,Norway,Males,Less than 15 years,479996
2020,Norway,Males,Less than 15 years,477580
2021,Norway,Males,Less than 15 years,473256
2022,Norway,Males,Less than 15 years,470343
2023,Norway,Males,Less than 15 years,470521
2008,Switzerland,Males,Less than 15 years,605343
2009,Switzerland,Males,Less than 15 years,607021
2010,Switzerland,Males,Less than 15 years,608065
2011,Switzerland,Males,Less than 15 years,611306
2012,Switzerland,Males,Less than 15 years,613414
2013,Switzerland,Males,Less than 15 years,616689
2014,Switzerland,Males,Less than 15 years,622722
2015,Switzerland,Males,Less than 15 years,629315
2016,Switzerland,Males,Less than 15 years,635248
2017,Switzerland,Males,Less than 15 years,644641
2018,Switzerland,Males,Less than 15 years,651761
2019,Switzerland,Males,Less than 15 years,659254
2020,Switzerland,Males,Less than 15 years,665156
2021,Switzerland,Males,Less than 15 years,671239
2022,Switzerland,Males,Less than 15 years,677737
2023,Switzerland,Males,Less than 15 years,681505
2008,United Kingdom,Males,Less than 15 years,5586620
2009,United Kingdom,Males,Less than 15 years,5611651
2010,United Kingdom,Males,Less than 15 years,5641194
2011,United Kingdom,Males,Less than 15 years,5674783
2012,United Kingdom,Males,Less than 15 years,5715734
2013,United Kingdom,Males,Less than 15 years,5765233
2014,United Kingdom,Males,Less than 15 years,5815182
2015,United Kingdom,Males,Less than 15 years,5872452
2016,United Kingdom,Males,Less than 15 years,5942796
2017,United Kingdom,Males,Less than 15 years,6015512
2018,United Kingdom,Males,Less than 15 years,6081524
2019,United Kingdom,Males,Less than 15 years,6117781
2008,Montenegro,Males,Less than 15 years,63113
2009,Montenegro,Males,Less than 15 years,62772
2010,Montenegro,Males,Less than 15 years,62859
2011,Montenegro,Males,Less than 15 years,61991
2012,Montenegro,Males,Less than 15 years,61195
2013,Montenegro,Males,Less than 15 years,60671
2014,Montenegro,Males,Less than 15 years,60133
2015,Montenegro,Males,Less than 15 years,59920
2016,Montenegro,Males,Less than 15 years,59506
2017,Montenegro,Males,Less than 15 years,59034
2018,Montenegro,Males,Less than 15 years,58549
2019,Montenegro,Males,Less than 15 years,58181
2020,Montenegro,Males,Less than 15 years,58104
2021,Montenegro,Males,Less than 15 years,57874
2022,Montenegro,Males,Less than 15 years,57639
2023,Montenegro,Males,Less than 15 years,57265
2008,Moldova,Males,Less than 15 years,321708
2009,Moldova,Males,Less than 15 years,312397
2010,Moldova,Males,Less than 15 years,305712
2011,Moldova,Males,Less than 15 years,301145
2012,Moldova,Males,Less than 15 years,297024
2013,Moldova,Males,Less than 15 years,295027
2014,Moldova,Males,Less than 15 years,293202
2015,Moldova,Males,Less than 15 years,292572
2017,Moldova,Males,Less than 15 years,292182
2008,North Macedonia,Males,Less than 15 years,194635
2009,North Macedonia,Males,Less than 15 years,190939
2010,North Macedonia,Males,Less than 15 years,187693
2011,North Macedonia,Males,Less than 15 years,185364
2012,North Macedonia,Males,Less than 15 years,182622
2013,North Macedonia,Males,Less than 15 years,181346
2014,North Macedonia,Males,Less than 15 years,180104
2015,North Macedonia,Males,Less than 15 years,179654
2016,North Macedonia,Males,Less than 15 years,178277
2017,North Macedonia,Males,Less than 15 years,177469
2018,North Macedonia,Males,Less than 15 years,176700
2019,North Macedonia,Males,Less than 15 years,175845
2020,North Macedonia,Males,Less than 15 years,174056
2021,North Macedonia,Males,Less than 15 years,172509
2022,North Macedonia,Males,Less than 15 years,161614
2008,Georgia,Males,Less than 15 years,395467
2009,Georgia,Males,Less than 15 years,395340
2010,Georgia,Males,Less than 15 years,398763
2011,Georgia,Males,Less than 15 years,400508
2012,Georgia,Males,Less than 15 years,401187
2014,Georgia,Males,Less than 15 years,405012
2015,Georgia,Males,Less than 15 years,341400
2016,Georgia,Males,Less than 15 years,372600
2017,Georgia,Males,Less than 15 years,378900
2018,Georgia,Males,Less than 15 years,389222
2019,Georgia,Males,Less than 15 years,393607
2020,Georgia,Males,Less than 15 years,395238
2008,Albania,Males,Less than 15 years,369627
2009,Albania,Males,Less than 15 years,355864
2010,Albania,Males,Less than 15 years,341874
2011,Albania,Males,Less than 15 years,326540
2012,Albania,Males,Less than 15 years,313644
2013,Albania,Males,Less than 15 years,303489
2014,Albania,Males,Less than 15 years,295276
2015,Albania,Males,Less than 15 years,286805
